省份,时间,确诊,治愈,死亡,新增确诊
广东,1.26,146,2,0,48
广东,1.27,188,4,0,42
广东,1.28,241,5,0,53
广东,1.29,311,6,0,70
广东,1.30,393,9,0,82
广东,1.31,520,9,0,127
广东,2.1,604,12,0,84
广东,2.2,683,14,0,79
广东,2.3,797,21,0,114
广东,2.4,870,32,0,73
广东,2.5,944,50,0,74
广东,2.6,1018,68,1,74
广东,2.7,1075,97,1,57
广东,2.8,1120,125,1,45
广东,2.9,1151,143,1,31
广东,2.10,1177,181,1,26
广东,2.11,1219,241,1,42
广东,2.12,1241,284,2,22
广东,2.13,1261,332,2,20
广东,2.14,1294,386,2,33
广东,2.15,1316,436,2,22
广东,2.16,1322,473,4,6
广东,2.17,1328,530,4,6
广东,2.18,1331,571,5,3
广东,2.19,1332,619,5,1
广东,2.20,1333,664,5,1
广东,2.21,1339,720,5,6
广东,2.22,1342,740,6,3
广东,2.23,1345,772,6,3
广东,2.24,1347,805,7,2
广东,2.25,1347,841,7,0
广东,2.26,1347,873,7,0
广东,2.27,1348,919,7,1
广东,2.28,1349,972,7,1
广东,2.29,1349,1009,7,0
广东,3.1,1350,1034,7,1
广东,3.2,1350,1081,7,0
广东,3.3,1350,1129,7,0
广东,3.4,1350,1159,7,0
广东,3.5,1351,1209,7,1
广东,3.6,1352,1233,7,1
广东,3.7,1352,1250,7,0
广东,3.8,1352,1260,8,0
广东,3.9,1353,1270,8,1
广东,3.10,1353,1282,8,0
广东,3.11,1356,1288,8,3
广东,3.12,1356,1296,8,0
广东,3.13,1356,1299,8,0
广东,3.14,1357,1303,8,1
广东,3.15,1361,1306,8,4
广东,3.16,1364,1307,8,3
广东,3.17,1369,1312,8,5
广东,3.19,1392,1322,8,14
广东,3.20,1399,1325,8,7
广东,3.21,1407,1329,8,8
广东,3.22,1413,1332,8,6
广东,3.23,1428,1333,8,15
广东,3.24,1433,1334,8,5
广东,3.25,1444,1336,8,11
广东,3.26,1456,1337,8,12
广东,3.27,1467,1341,8,11
广东,3.28,1475,1349,8,8
广东,3.29,1484,1351,8,9
广东,3.30,1490,1353,8,6
广东,3.31,1501,1357,8,11
广东,4.1,1507,1365,8,6
广东,4.2,1514,1368,8,7
广东,4.3,1516,1378,8,2
广东,4.4,1524,1378,8,5
广东,4.5,1532,1395,8,8
广东,4.6,1533,1401,8,1
广东,4.7,1536,1411,8,3
广东,4.8,1539,1423,8,3
广东,4.9,1544,1434,8,5
广东,4.10,1548,1437,8,4
广东,4.11,1552,1443,8,4
广东,4.12,1555,1454,8,3
广东,4.13,1564,1458,8,9
广东,4.14,1566,1462,8,2
广东,4.15,1571,1471,8,5
广东,4.16,1577,1475,8,6
广东,4.17,1579,1482,8,2
广东,4.18,1580,1490,8,1
广东,4.19,1581,1494,8,1
广东,4.20,1582,1501,8,1
广东,4.21,1582,1511,8,0
广东,4.22,1584,1518,8,2
广东,4.23,1585,1528,8,1
广东,4.24,1585,1534,8,0
广东,4.25,1586,1542,8,1
广东,4.26,1587,1542,8,1
广东,4.27,1587,1547,8,0
广东,4.28,1588,1554,8,1
广东,4.29,1588,1557,8,0
广东,4.30,1588,1565,8,0
广东,5.1,1588,1567,8,0
广东,5.2,1588,1567,8,0
广东,5.3,1588,1569,8,0
广东,5.4,1588,1571,8,0
广东,5.5,1588,1575,8,0
广东,5.6,1589,1575,8,1
广东,5.7,1589,1575,8,0
广东,5.8,1589,1576,8,0
广东,5.9,1589,1576,8,0
广东,5.10,1589,1577,8,0
广东,5.11,1589,1578,8,0
广东,5.12,1589,1578,8,0
广东,5.13,1589,1579,8,0
广东,5.14,1589,1579,8,0
广东,5.15,1589,1579,8,0
广东,5.16,1590,1579,8,1
广东,5.17,1590,1579,8,0
广东,5.18,1590,1579,8,0
广东,5.19,1590,1579,8,0
广东,5.20,1591,1579,8,1
广东,5.21,1591,1580,8,0
广东,5.22,1591,1580,8,0
广东,5.23,1592,1580,8,1
广东,5.24,1592,1581,8,0
广东,5.25,1592,1581,8,0
广东,5.26,1592,1581,8,0
广东,5.27,1592,1582,8,0
广东,5.28,1592,1582,8,0
广东,5.29,1593,1583,8,1
广东,5.30,1593,1583,8,0
广东,5.31,1595,1583,8,2
广东,6.1,1596,1583,8,1
广东,6.2,1597,1583,8,1
